Date,Close,High,Low,Open,Volume
2012-01-03,12.321687698364258,12.359741189230188,12.254870661806896,12.266856139260517,302220800
2012-01-04,12.387906074523926,12.425061056470142,12.26326030322807,12.2848333636143,260022000
2012-01-05,12.525437355041504,12.541017677300095,12.364835140368765,12.43315156906746,271269600
2012-01-06,12.656373023986816,12.666859915440579,12.561090890054894,12.577570519510386,318292800
2012-01-09,12.636297225952148,12.81667463180634,12.624911024222623,12.749258332338293,394024400
2012-01-10,12.68154239654541,12.764240585161286,12.629406373261858,12.761543452868096,258196400
2012-01-11,12.660866737365723,12.66985584405587,12.563786785407636,12.6647616168822,215084800
2012-01-12,12.626114845275879,12.671358834055502,12.547012274102961,12.652782139362758,212587200
2012-01-13,12.578768730163574,12.597945492475203,12.544311685532708,12.575473924289104,226021600
2012-01-17,12.725289344787598,12.76394210920517,12.673153318396006,12.710307498095007,242897200
2012-01-18,12.857431411743164,12.8682175454405,12.773235400969629,12.793010646163854,276791200
2012-01-19,12.816678047180176,12.92514342900802,12.779523863313104,12.888589319174592,261738400
2012-01-20,12.593450546264648,12.809184321807676,12.576970916192552,12.808885084945658,413974400
2012-01-23,12.806487083435059,12.837649320004905,12.653376233039944,12.664462397924195,306062400
2012-01-24,12.596747398376465,12.737274314406072,12.570979423191,12.737274314406072,547638000
2012-01-25,13.383275985717773,13.616687141381203,13.29548437001299,13.616387904515978,958314000
2012-01-26,13.3224515914917,13.447096546491355,13.277806891715557,13.434213359412816,323985200
2012-01-27,13.401853561401367,13.437809191277275,13.296683804071016,13.313761908161034,299709200
2012-01-30,13.573539733886719,13.600207016690423,13.345222027453165,13.354809607706294,379341200
2012-01-31,13.677513122558594,13.730247622737586,13.575338928326191,13.65084583548583,391683600
2012-02-01,13.6688232421875,13.752719978530349,13.649648079746934,13.735341837488496,270046000
2012-02-02,13.636763572692871,13.698187141533325,13.602605763640682,13.660134452539552,186796400
2012-02-03,13.773397445678711,13.782985829030318,13.649950210421743,13.702086244797364,286599600
2012-02-06,13.901933670043945,13.932196595283802,13.729048388586975,13.734441052401396,249412800
2012-02-07,14.047560691833496,14.075127296737172,13.920216962905965,13.94029304261349,316223600
2012-02-08,14.282767295837402,14.286062102047937,14.073624711036786,14.097595666371321,407890000
2012-02-09,14.77685546875,14.884123082378935,14.3990217257655,14.405014463973579,884214800
2012-02-10,14.784350395202637,14.91019473466269,14.638429976716276,14.710642093583814,631302000
2012-02-13,15.059407234191895,15.096261374414494,14.894310095153807,14.96741990187041,517216000
2012-02-14,15.264951705932617,15.267947274803,15.04142818154191,15.121129195819234,460398400
2012-02-15,14.911691665649414,15.76923101486202,14.888319183424132,15.408776964736186,1506120000
2012-02-16,15.047720909118652,15.128022001305498,14.58089700169017,14.726817377430997,944552000
2012-02-17,15.045023918151855,15.214315165507674,14.99049080267613,15.074686770981268,535805200
2012-02-21,15.426457405090332,15.42645740509033,15.104953727780023,15.1876519337049,605595200
2012-02-22,15.372221946716309,15.445630998777101,15.253268078530082,15.373420494509084,483302400
2012-02-23,15.47259521484375,15.515742928944151,15.266150588989975,15.433343980636332,568027600
2012-02-24,15.652972221374512,15.667654029212015,15.540012712158456,15.570874112262448,415072000
2012-02-27,15.753347396850586,15.835445495620913,15.469298056345336,15.620010995329537,547582000
2012-02-28,16.04248809814453,16.04248809814453,15.756041699660955,15.819263868390042,600387200
2012-02-29,16.253128051757812,16.408038299208577,16.051178420439534,16.226761609793428,952011200
2012-03-01,16.313955307006836,16.426018701042835,16.143166284353125,16.424818553315014,683270000
2012-03-02,16.33523178100586,16.383770561222633,16.25552916125057,16.307066710930513,431712400
2012-03-05,15.975071907043457,16.404140633431407,15.76053514355452,16.342417848587072,809124400
2012-03-06,15.88818073272705,15.990953379496906,15.467500165544994,15.690425197762282,810238800
2012-03-07,15.901066780090332,16.113504138594294,15.67963951461291,16.084140522901354,798520800
2012-03-08,16.23965072631836,16.26961281838859,15.943915084378423,16.020919773259198,516457200
2012-03-09,16.334936141967773,16.411940846285066,16.27321172362209,16.306170991624736,418919200
2012-03-12,16.539581298828125,16.539581298828125,16.389764430317218,16.449091743827022,407282400
2012-03-13,17.0219783782959,17.024375472895606,16.651934500399975,16.70556989211763,690855200
2012-03-14,17.665592193603516,17.819601593651615,17.24071577685265,17.320119172802386,1418844000
2012-03-15,17.545137405395508,17.978102742886968,17.335097130295566,17.96611726638251,1159718000
2012-03-16,17.545434951782227,17.654200340235818,17.318615031429808,17.519966216713414,825487600
2012-03-19,18.010766983032227,18.030841460729228,17.649712819839596,17.92896808698478,901236000
2012-03-20,18.156391143798828,18.184554624516302,17.722526322555076,17.963128858561774,816662000
2012-03-21,18.052711486816406,18.266947492473648,18.020053061502445,18.05990277317835,644042000
2012-03-22,17.958026885986328,18.112636320584866,17.843867231325294,17.911283531221137,623870800
2012-03-23,17.859453201293945,18.031740059030025,17.810013501141494,17.992488815987574,430488800
2012-03-26,18.186941146850586,18.192036173581762,17.835776350624702,17.97150664659362,595742000
2012-03-27,18.411670684814453,18.465603736299975,18.159381970410852,18.162977613856377,607129600
2012-03-28,18.505748748779297,18.62050686738698,18.286718601659953,18.528519550254405,655460400
2012-03-29,18.273235321044922,18.473988019263807,18.19443362622376,18.360727685062425,608238400
2012-03-30,17.964319229125977,18.294211050220902,17.916078088972846,18.240577246044285,731038000
2012-04-02,18.5360164642334,18.540210581316764,17.989190647294933,18.032637603773544,598351600
2012-04-03,18.856319427490234,18.94291410113849,18.652271876615544,18.79579356708052,834559600
2012-04-04,18.706205368041992,18.752647893643,18.48717516521357,18.707403915803255,572980800
2012-04-05,18.986963272094727,19.016326897237583,18.678942844840037,18.78621048777335,641298000
2012-04-09,19.063365936279297,19.171532879069392,18.73587113859189,18.760739806233477,597536800
2012-04-10,18.8299560546875,19.296179997569528,18.756846231234263,19.17423054616987,889725200
2012-04-11,18.762836456298828,19.082541472495,18.677141090980303,19.062466997527753,696614800
2012-04-12,18.660053253173828,18.916537552175996,18.592036900041638,18.726871059111666,614336800
2012-04-13,18.134504318237305,18.71788482817275,18.082968383369238,18.70020585504903,859644800
2012-04-16,17.382442474365234,18.285825945699166,17.326112323610385,18.27923473238858,1050786800
2012-04-17,18.2684383392334,18.277426643673703,17.136137607478982,17.346777889959874,1025528000
2012-04-18,18.227685928344727,18.58454571095378,18.058993231682486,18.388886505809733,954531200
2012-04-19,17.601469039916992,18.119529704399365,17.51397665419959,17.984396245677743,834719200
2012-04-20,17.168197631835938,17.816597307328216,17.091492206256664,17.719516578027214,1030985200
2012-04-23,17.129844665527344,17.278762169293472,16.67800352877521,17.09718625141242,966529200
2012-04-24,16.787677764892578,17.009703580937153,16.629472629510968,16.857491185547087,1076149200
2012-04-25,18.277437210083008,18.517142002432536,18.15758561400702,18.446429272712145,905777600
2012-04-26,18.208518981933594,18.41796079082818,18.041624816059205,18.405375239947972,536068400
2012-04-27,18.067686080932617,18.162969791101848,17.99277927504242,18.129711303703118,406722400
2012-04-30,17.49779510498047,17.92986272031784,17.46843148842902,17.91188450604233,506144800
2012-05-01,17.442363739013672,17.880721715558494,17.415397218532057,17.525361158775116,610999200
2012-05-02,17.55772590637207,17.600273558892155,17.344389169889876,17.385738274448865,427389200
2012-05-03,17.433073043823242,17.720119563319816,17.38752983998232,17.693153045237977,390549600
2012-05-04,16.93659210205078,17.329406969063992,16.93419500628786,17.291055037054715,529992400
2012-05-07,17.06333351135254,17.161912061479462,16.81613824373182,16.82422884092424,460118400
2012-05-08,17.024385452270508,17.123861736076233,16.741235287538395,17.066333032157633,497252000
2012-05-09,17.05434799194336,17.198172155745297,16.8047571648424,16.8901517119701,480704000
2012-05-10,17.09449577331543,17.255097983290455,17.032174486104005,17.21614597863528,333200000
