Date,Close_Raw,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MACD_Hist
2012-02-21,15.426457405090332,0.027692571598076657,0.026675343196426574,0.028550700401301157,0.029342546028453403,0.39575064200733023,0.87418416154185,0.441164752359561,0.41731378726012064,0.6315640746763984
2012-02-22,15.372221946716309,0.02920950650867743,0.026831442880442077,0.029797644804203757,0.028894551028225718,0.30934932800830633,0.8468228345712807,0.44108455187595413,0.4181497267545984,0.6291182471936421
2012-02-23,15.47259521484375,0.029698825194669404,0.027402251374853207,0.02990595377250023,0.029723652940991052,0.36920868693074577,0.8595295008944246,0.44100518689398027,0.41880042707438536,0.6271635904363155
2012-02-24,15.652972221374512,0.03082185837649548,0.02863901872987583,0.03220843387590873,0.031213600652404222,0.2611437409690121,0.8811746261670048,0.44146737503718053,0.4194261103383059,0.6268996087090202
2012-02-27,15.753347396850586,0.031223096632311792,0.030005074322521655,0.03161390446035707,0.032042718320224955,0.35476362797798283,0.89258158029602,0.4418086086262957,0.42000426928519186,0.62639812878403
2012-02-28,16.04248809814453,0.03285014072348924,0.03169068868150281,0.034024685206064345,0.034431074433097064,0.39207112822314244,0.9222140488684285,0.44332528235498375,0.42081175835268886,0.6288180362936554
2012-02-29,16.253128051757812,0.03617765506310533,0.034666775053734875,0.03650603026947001,0.03617099973097454,0.6404976556523351,0.9408093339578967,0.4452157514534224,0.42188772991071355,0.6316510823553748
2012-03-01,16.313955307006836,0.037794933523002894,0.034813160498772075,0.037279412962796285,0.036673444202655975,0.45062880968859503,0.9459429568760422,0.44636635897862925,0.42301020864377115,0.6321418293266566
2012-03-02,16.33523178100586,0.03683340440458069,0.03446920195954799,0.038224097409936694,0.036849191845615,0.2729003809794572,0.947806550801761,0.44665723816684344,0.4239743510410675,0.6304710532117092
2012-03-05,15.975071907043455,0.037122072059691674,0.034635042640596594,0.03406246357804586,0.033874204122544965,0.5395464363400311,0.7562155972873061,0.44369667931945767,0.4240722966428923,0.6213308839021138
2012-03-06,15.88818073272705,0.031798079618722136,0.03127112449191251,0.03159878879650406,0.03315646681885681,0.5403337731605186,0.7156834422756146,0.44006689340049093,0.42332507155082655,0.6124125834904137
2012-03-07,15.901066780090332,0.03501305054252413,0.032268857889390615,0.033382338214465804,0.03326290797312226,0.5320548671460962,0.718224466850373,0.436627606758156,0.42194503826958174,0.6057351471158714
2012-03-08,16.23965072631836,0.03449680731066948,0.033539799372039505,0.03560421991961747,0.036059674509535844,0.3327735875344177,0.7791978088110227,0.4355750998460111,0.42060162278472657,0.6061215406704245
2012-03-09,16.334936141967773,0.0368260902073928,0.034698547207429584,0.038372762539552505,0.03684674981202837,0.2638618334095895,0.7942926413361979,0.43476240107795205,0.4193420450250449,0.6070062022238083
2012-03-12,16.539581298828125,0.03799314171237539,0.03573771777894945,0.03935267274056574,0.03853715697079155,0.25564029615846895,0.8247206607836677,0.4348849833830374,0.4183622637156716,0.6099586339822854
2012-03-13,17.0219783782959,0.04008747164239174,0.039684615716852514,0.0415568525778169,0.04252184680664836,0.4559878434742749,0.8819961471314341,0.43761365614824477,0.41819906534022133,0.6185752743466947
2012-03-14,17.665592193603516,0.045105711833948986,0.04615886087917505,0.046506997412039744,0.04783821694492285,0.9703205670407693,0.9349256433755886,0.4434411918915164,0.4193939583982052,0.6329059503598055
2012-03-15,17.545137405395508,0.05038075437123912,0.04744928038612482,0.04730050323139463,0.04684323793140502,0.7872449739452555,0.8846114989919682,0.4464730354787234,0.42103945461478176,0.6376607464783172
